YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,VOTES CASTED,Election Type
1989,Bihar,Bagaha,1,Mahendra Baitha,Male,Janata Dal,Wheel,871641,395345,45.40%,SC,395725,Lok Sabha (National)
1989,Bihar,Bettiah,2,Dharmesh Prassad Verma,Male,Janata Dal,Wheel,911262,519407,57.00%,GEN,519419,Lok Sabha (National)
1989,Bihar,Motihari,3,Radha Mohan Singh,Male,Bharatiya Janta Party,Other,936758,551310,58.90%,GEN,551750,Lok Sabha (National)
1989,Bihar,Gopalganj,4,Rajmangal Mishra,Male,Janata Dal,Wheel,944046,688818,73.00%,GEN,689153,Lok Sabha (National)
1989,Bihar,Siwan,5,Janardan Tiwari,Male,Bharatiya Janta Party,Other,965656,562288,58.20%,GEN,562011,Lok Sabha (National)
1989,Bihar,Maharajganj,6,Chanrasbekhar,Male,Janata Dal,Wheel,1024013,591913,57.80%,GEN,591879,Lok Sabha (National)
1989,Bihar,Chapra,7,Laloo Prassad,Male,Janata Dal,Wheel,1010173,659029,65.20%,GEN,658632,Lok Sabha (National)
1989,Bihar,Hajipur,8,Ram Vilas Paswan,Male,Janata Dal,Wheel,977499,736399,75.30%,SC,736056,Lok Sabha (National)
1989,Bihar,Vaishali,9,Usha Singh,Female,Janata Dal,Wheel,964120,711954,73.80%,GEN,711520,Lok Sabha (National)
1989,Bihar,Muzaffarpur,10,George Farnandes,Male,Janata Dal,Wheel,981763,726622,74.00%,GEN,726504,Lok Sabha (National)
1989,Bihar,Sitamarhi,11,Hukumdeo Narayan Yadav,Male,Janata Dal,Wheel,1011260,654778,64.80%,GEN,655296,Lok Sabha (National)
1989,Bihar,Sheohar,12,Hari Kishor Singh,Male,Janata Dal,Wheel,962568,633746,65.80%,GEN,633369,Lok Sabha (National)
1989,Bihar,Madhubani,13,Bhogendra Jha,Male,Communist Party Of India,Other,981067,558378,56.90%,GEN,558227,Lok Sabha (National)
1989,Bihar,Jhanjharpur,14,Devandra Prassad Yadav,Male,Janata Dal,Wheel,958736,539539,56.30%,GEN,539768,Lok Sabha (National)
