YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,VOTES CASTED,Election Type
1997,Madhya Pradesh,CHHINDWARA,27,SUNDERLAL PATWA,Male,Bharatiya Janata Party,LOTUS,996033,37680,5.464996033,General,689479,Lok Sabha Bypoll (National)
2002,Madhya Pradesh,GUNA,4,JYOTIRADITYA MADHAVRAO SCINDIA,Male,Indian National Congress,HAND,1287191,406568,56.37210179,General,721222,Lok Sabha Bypoll (National)
2006,Madhya Pradesh,VIDISHA,20,RAMPAL SINGH,Male,Bharatiya Janata Party,LOTUS,1315386,85087,13.56575614,General,627219,Lok Sabha Bypoll (National)
2007,Madhya Pradesh,GWALIOR,3,Yashodhara  Raje Scindhia,Female,Bharatiya Janata Party,LOTUS,1378757,36474,6.392117895,General,570609,Lok Sabha Bypoll (National)
2007,Madhya Pradesh,SIDDHI,10,Shri Manik Singh,Male,Indian National Congress,HAND,1091008,1586,0.263465653,General,601976,Lok Sabha Bypoll (National)
2008,Madhya Pradesh,BETUL,17,Khandelwal Hemant Vijay Kumar,Male,Bharatiya Janata Party,LOTUS,1090804,35442,5.402340374,General,656049,Lok Sabha Bypoll (National)
2008,Madhya Pradesh,KHARGON,24,Arun Suchash Chandra Yadav,Male,Indian National Congress,HAND,1291829,118638,15.43423168,General,768668,Lok Sabha Bypoll (National)
2015,Madhya Pradesh,JHABUA,24,Kantilal Bhuria,Male,Indian National Congress,HAND,1743178,88832,8.500092338,Scheduled Tribe,1045071,Lok Sabha Bypoll (National)
2016,Madhya Pradesh,SHAHDOL,12,"Gyan Singh Ë""",Male,Bharatiya Janata Party,LOTUS,1601187,60383,5.652013161,Scheduled Tribe,1068345,Lok Sabha Bypoll (National)
2021,Madhya Pradesh,KHANDWA,20,GYANESHWAR PATIL,Male,Bharatiya Janata Party,LOTUS,1968805,82140,6.54533806,General,1254939,Lok Sabha Bypoll (National)
1970,Manipur,Inner Manipur,1,R.K. Dorendra Singh,Male,Communist Party of India,Corn and Sickel,272699,12516,0.463,General,189743,Lok Sabha Bypoll (National)
2001,Manipur,Outer Manipur,2,Holkhomang Haokip,Male,Nationalist Congress Party,Clock,737402,111441,0.5474,Scheduled Tribe,538920,Lok Sabha Bypoll (National)
1978,Manipur,Heingang,2,L.N. Singh,Male,Independent,Free Symbol,19576,1269,0.1091,General,11631,Vidhan Sabha Bypoll (State)
1981,Manipur,Tamenglong,53,J. Panmei,Male,Independent,Free Symbol,14800,415,0.0415,Scheduled Tribe,10011,Vidhan Sabha Bypoll (State)
1991,Manipur,Singjamei,13,I.H. Singh,Male,Indian National Congress,Hand,12561,1348,0.1036,General,13014,Vidhan Sabha Bypoll (State)
1991,Manipur,Oinam,25,K.A. Devi,Female,Indian National Congress,Hand,15531,1621,0.1954,General,15755,Vidhan Sabha Bypoll (State)
1995,Manipur,Khundrakpam,1,Konjengbam Binoy,Male,Manipur Peoples Party,Bicycle,18146,3099,0.4061,General,15857,Vidhan Sabha Bypoll (State)
2017,Manipur,Saikul,46,Yamthong Haokip,Male,Indian National Congress,Hand,36750,3261,0.358,Scheduled Tribe,32596,Vidhan Sabha Bypoll (State)
2017,Manipur,Singhat,60,Ginsuanhau,Male,Indian National Congress,Hand,26081,1162,0.527,Scheduled Tribe,21577,Vidhan Sabha Bypoll (State)
2017,Manipur,Tamenglong,53,Samuel Jendai Kamei,Male,Bharatiya Janata Party,Lotus,31525,2004,0.544,Scheduled Tribe,24037,Vidhan Sabha Bypoll (State)
2017,Manipur,Oinam,25,Laishram Radhakishore Singh,Male,Bharatiya Janata Party,Lotus,28103,843,0.4907,General,24514,Vidhan Sabha Bypoll (State)
2020,Manipur,Wangoi,22,Oinam Lukhoi Singh,Male,Bharatiya Janata Party,Lotus,28828,257,0.4021,General,27254,Vidhan Sabha Bypoll (State)
2020,Manipur,Lilong,30,Y. Antas Khan,Male,Independent,Free Symbol,32398,3078,0.5105,General,29567,Vidhan Sabha Bypoll (State)
2020,Manipur,Wangjing Tentha,34,Paonam Brojen Singh,Male,Bharatiya Janata Party,Lotus,33398,1513,0.5201,General,29460,Vidhan Sabha Bypoll (State)
2020,Manipur,Saitu,51,Ngamthang Haokip,Male,Bharatiya Janata Party,Lotus,40210,12257,0.7308,Scheduled Tribe,36375,Vidhan Sabha Bypoll (State)
2020,Manipur,Singhat,60,Ginsuanhau Zou,Male,Bharatiya Janata Party,Lotus,27995,Uncontested,Uncontested,Scheduled Tribe,Uncontested,Vidhan Sabha Bypoll (State)
2022,Manipur,Thongju,5,T. Biswajit Singh,Male,Bharatiya Janata Party,Lotus,31987,6719,0.522,General,29481,Vidhan Sabha Bypoll (State)
2022,Manipur,Keishamthong,12,Sapam Nishikant Singh,Male,Independent,Free Symbol,26163,187,0.346,General,24015,Vidhan Sabha Bypoll (State)
1972,Meghalaya,Tura,2,K. R. Marak,Male,All Party Hill Leaders Conference,Flower,142124,12412,0.614,Scheduled Tribe,87264,Lok Sabha Bypoll (National)
1989,Meghalaya,Tura,2,Sanford Marak,Male,Indian National Congress,Hand,298412,22145,0.542,Scheduled Tribe,161739,Lok Sabha Bypoll (National)
2006,Meghalaya,Tura,2,P. A. Sangma,Male,Nationalist Congress Party,Clock,432124,101162,0.703,Scheduled Tribe,303783,Lok Sabha Bypoll (National)
2008,Meghalaya,Tura,2,Agatha Sangma,Female,Nationalist Congress Party,Clock,482142,17945,0.451,Scheduled Tribe,217446,Lok Sabha Bypoll (National)
2016,Meghalaya,Tura,2,Conrad Sangma,Male,National People's Party,Book,582412,192212,0.682,Scheduled Tribe,397205,Lok Sabha Bypoll (National)
2018,Meghalaya,South Tura,51,Conrad Sangma,Male,National People's Party,Book,30124,8421,0.7289,Scheduled Tribe,21984,Vidhan Sabha Bypoll (State)
2018,Meghalaya,Ranikor,35,Pius Marwein,Male,United Democratic Party,Drum,28412,3396,0.824,Scheduled Tribe,23412,Vidhan Sabha Bypoll (State)
2019,Meghalaya,Shella,26,Balajied Kupar,Male,United Democratic Party,Drum,29124,6221,0.852,Scheduled Tribe,24812,Vidhan Sabha Bypoll (State)
2021,Meghalaya,Mawryngkneng,13,Pyniaid Sing,Male,National People's Party,Book,32124,1816,0.751,Scheduled Tribe,24124,Vidhan Sabha Bypoll (State)
2021,Meghalaya,Mawphlang,15,Eugeneson Lyngdoh,Male,United Democratic Party,Drum,31412,4401,0.769,Scheduled Tribe,24152,Vidhan Sabha Bypoll (State)
2021,Meghalaya,Rajabala,47,Abdur Saleh,Male,National People's Party,Book,34124,1927,0.9063,General,30912,Vidhan Sabha Bypoll (State)
2024,Meghalaya,Gambegre,52,Mehtab Chandee,Female,National People's Party,Book,31214,4594,0.904,Scheduled Tribe,28214,Vidhan Sabha Bypoll (State)
2018,Nagaland,Nagaland,1,Tokheho Yepthomi,Male,Nationalist Democratic Progressive Party,Globe,"11,97,436",594205,58.45%,Scheduled Tribe,"10,16,513",Lok Sabha Bypoll (National)
1971,Nagaland,Peren,5,Kielu,Male,Naga National Organization,Mithun,4850,223,0.5223,Scheduled Tribe,3487,Vidhan Sabha Bypoll (State)
1971,Nagaland,Chazouba,16,N. Theyo,Male,Naga National Organization,Mithun,6420,352,0.5391,Scheduled Tribe,4494,Vidhan Sabha Bypoll (State)
1971,Nagaland,Mongoya,23,C. Jamir,Male,Naga National Organization,Mithun,5431,454,0.4108,Scheduled Tribe,3968,Vidhan Sabha Bypoll (State)
1980,Nagaland,Wakching,42,P. Enyei,Male,Independent,Free Symbol,8973,9,0.5006,Scheduled Tribe,6825,Vidhan Sabha Bypoll (State)
1984,Nagaland,Tuensang Sadar,53,Changkong,Male,Indian National Congress,Hand,11234,1005,0.5578,Scheduled Tribe,8695,Vidhan Sabha Bypoll (State)
1987,Nagaland,Dimapur-I,1,Hokishe,Male,Indian National Congress,Hand,30511,8930,0.7233,General,19984,Vidhan Sabha Bypoll (State)
1994,Nagaland,Western Angami,8,N.T. Nakhro,Male,Indian National Congress,Hand,9871,575,0.5388,Scheduled Tribe,7405,Vidhan Sabha Bypoll (State)
1995,Nagaland,Tehok,45,W. Wangyuh,Male,Indian National Congress,Hand,13842,8354,0.825,Scheduled Tribe,12858,Vidhan Sabha Bypoll (State)
2011,Nagaland,Aonglenden,26,Toshipokba,Male,Naga People's Front,Rooster,12806,1320,0.5589,Scheduled Tribe,11210,Vidhan Sabha Bypoll (State)
2018,Nagaland,Northern Angami-II,11,Neiphiu Rio,Male,Nationalist Democratic Progressive Party,Globe,21006,Uncontested,Uncontested,Scheduled Tribe,Uncontested,Vidhan Sabha Bypoll (State)
1969,Puducherry,Puducherry,1,M. O. H. Farook,Male,Indian National Congress,Hand,260000,27000,0.55,General,180000,Lok Sabha Bypoll (National)
1997,Puducherry,Puducherry,1,M. O. H. Farook,Male,Indian National Congress,Hand,550000,70000,0.6,General,380000,Lok Sabha Bypoll (National)
1970,Tripura,Tripura West,1,B. Bhowmik,Male,Communist Party of India (Marxist),"Hammer, Sickle & Star",312412,18412,0.521,General,162766,Lok Sabha Bypoll (National)
1990,Tripura,Tripura West,1,Santosh Mohan Dev,Male,Indian National Congress,Hand,742816,212154,0.882,General,655163,Lok Sabha Bypoll (National)
2002,Tripura,Tripura West,1,Khagen Das,Male,Communist Party of India (Marxist),"Hammer, Sickle & Star",914212,421113,0.742,General,678345,Lok Sabha Bypoll (National)
1996,Tripura,Santirbazar,36,Narayan R,Male,Communist Party of India (Marxist),"Hammer, Sickle & Star",23283,4307,0.5345,Scheduled Tribe,19564,Vidhan Sabha Bypoll (State)
1996,Tripura,Kanchanpur,60,B Induram,Male,Communist Party of India (Marxist),"Hammer, Sickle & Star",20451,3348,0.4838,Scheduled Tribe,16342,Vidhan Sabha Bypoll (State)
2001,Tripura,Banamalipur,9,Prasanta K,Male,Communist Party of India,Ear of Corn & Sickle,22812,1542,0.512,General,18142,Vidhan Sabha Bypoll (State)
2012,Tripura,Nalchar,21,Tapan Chandra Das,Male,Communist Party of India (Marxist),"Hammer, Sickle & Star",25643,3820,0.9345,Scheduled Caste,23982,Vidhan Sabha Bypoll (State)
